Condition,Session,Responses,Subject,Group,Junk Col
Baseline,1,979,Z3,Sal_Sal,junk2
Baseline,2,928,Z3,Sal_Sal,junk3
Baseline,3,1050,Z3,Sal_Sal,junk4
Baseline,4,1237,Z3,Sal_Sal,junk5
Baseline,5,1688,Z3,Sal_Sal,junk6
Baseline,6,1139,Z3,Sal_Sal,junk7
Baseline,7,1202,Z3,Sal_Sal,junk8
Baseline,8,1104,Z3,Sal_Sal,junk9
Baseline,9,1528,Z3,Sal_Sal,junk10
Baseline,10,1129,Z3,Sal_Sal,junk11
Baseline,11,1527,Z3,Sal_Sal,junk12
Baseline,12,1371,Z3,Sal_Sal,junk13
Baseline,13,1636,Z3,Sal_Sal,junk14
Baseline,14,1664,Z3,Sal_Sal,junk15
Treatment,15,1114,Z3,Sal_Sal,junk16
Treatment,16,1808,Z3,Sal_Sal,junk17
Treatment,17,1570,Z3,Sal_Sal,junk18
Treatment,18,1900,Z3,Sal_Sal,junk19
Treatment,19,1871,Z3,Sal_Sal,junk20
Treatment,20,1984,Z3,Sal_Sal,junk21
Treatment,21,1944,Z3,Sal_Sal,junk22
Extinction,22,637,Z3,Sal_Sal,junk23
Extinction,23,413,Z3,Sal_Sal,junk24
Extinction,24,242,Z3,Sal_Sal,junk25
Extinction,25,98,Z3,Sal_Sal,junk26
Extinction,26,66,Z3,Sal_Sal,junk27
Extinction,27,41,Z3,Sal_Sal,junk28
Extinction,28,52,Z3,Sal_Sal,junk29
Extinction,29,72,Z3,Sal_Sal,junk30
Extinction,30,50,Z3,Sal_Sal,junk31
Extinction,31,27,Z3,Sal_Sal,junk32
Reinstatement,32,126,Z3,Sal_Sal,junk33
Baseline,1,714,Z5,Sal_Sal,junk34
Baseline,2,642,Z5,Sal_Sal,junk35
Baseline,3,698,Z5,Sal_Sal,junk36
Baseline,4,767,Z5,Sal_Sal,junk37
Baseline,5,1134,Z5,Sal_Sal,junk38
Baseline,6,1067,Z5,Sal_Sal,junk39
Baseline,7,1066,Z5,Sal_Sal,junk40
Baseline,8,1253,Z5,Sal_Sal,junk41
Baseline,9,1271,Z5,Sal_Sal,junk42
Baseline,10,1039,Z5,Sal_Sal,junk43
Baseline,11,1057,Z5,Sal_Sal,junk44
Baseline,12,948,Z5,Sal_Sal,junk45
Baseline,13,885,Z5,Sal_Sal,junk46
Baseline,14,1119,Z5,Sal_Sal,junk47
Treatment,15,1457,Z5,Sal_Sal,junk48
Treatment,16,1625,Z5,Sal_Sal,junk49
Treatment,17,1985,Z5,Sal_Sal,junk50
