Condition,Session,Responses,Subject,Group
Baseline,1,0,Z3,Sal_Sal
Baseline,2,0,Z3,Sal_Sal
Baseline,3,0,Z3,Sal_Sal
Baseline,4,0,Z3,Sal_Sal
Baseline,5,1688,Z3,Sal_Sal
Baseline,6,1139,Z3,Sal_Sal
Baseline,7,1202,Z3,Sal_Sal
Baseline,8,1104,Z3,Sal_Sal
Baseline,9,1528,Z3,Sal_Sal
Baseline,10,1129,Z3,Sal_Sal
Baseline,11,1527,Z3,Sal_Sal
Baseline,12,1371,Z3,Sal_Sal
Baseline,13,1636,Z3,Sal_Sal
Baseline,14,1664,Z3,Sal_Sal
Treatment,15,1114,Z3,Sal_Sal
Treatment,16,1808,Z3,Sal_Sal
Treatment,17,1570,Z3,Sal_Sal
Treatment,18,1900,Z3,Sal_Sal
Treatment,19,1871,Z3,Sal_Sal
Treatment,20,1984,Z3,Sal_Sal
Treatment,21,1944,Z3,Sal_Sal
Extinction,22,637,Z3,Sal_Sal
Extinction,23,413,Z3,Sal_Sal
Extinction,24,242,Z3,Sal_Sal
Extinction,25,98,Z3,Sal_Sal
Extinction,26,66,Z3,Sal_Sal
Extinction,27,41,Z3,Sal_Sal
Extinction,28,52,Z3,Sal_Sal
Extinction,29,72,Z3,Sal_Sal
Extinction,30,50,Z3,Sal_Sal
Extinction,31,27,Z3,Sal_Sal
Reinstatement,32,126,Z3,Sal_Sal
Baseline,1,714,Z5,Sal_Sal
Baseline,2,642,Z5,Sal_Sal
Baseline,3,698,Z5,Sal_Sal
Baseline,4,767,Z5,Sal_Sal
Baseline,5,1134,Z5,Sal_Sal
Baseline,6,1067,Z5,Sal_Sal
Baseline,7,1066,Z5,Sal_Sal
Baseline,8,1253,Z5,Sal_Sal
Baseline,9,1271,Z5,Sal_Sal
Baseline,10,1039,Z5,Sal_Sal
Baseline,11,1057,Z5,Sal_Sal
Baseline,12,948,Z5,Sal_Sal
Baseline,13,885,Z5,Sal_Sal
Baseline,14,1119,Z5,Sal_Sal
Treatment,15,1457,Z5,Sal_Sal
Treatment,16,1625,Z5,Sal_Sal
Treatment,17,1985,Z5,Sal_Sal
Treatment,18,2118,Z5,Sal_Sal
Treatment,19,1736,Z5,Sal_Sal
Treatment,20,1833,Z5,Sal_Sal
Treatment,21,1380,Z5,Sal_Sal
Extinction,22,697,Z5,Sal_Sal
Extinction,23,605,Z5,Sal_Sal
Extinction,24,284,Z5,Sal_Sal
Extinction,25,111,Z5,Sal_Sal
Extinction,26,26,Z5,Sal_Sal
Extinction,27,55,Z5,Sal_Sal
Extinction,28,17,Z5,Sal_Sal
Extinction,29,21,Z5,Sal_Sal
Extinction,30,18,Z5,Sal_Sal
Extinction,31,20,Z5,Sal_Sal
Reinstatement,32,24,Z5,Sal_Sal
Baseline,1,767,Z7,Sal_Sal
Baseline,2,1173,Z7,Sal_Sal
Baseline,3,1538,Z7,Sal_Sal
Baseline,4,1507,Z7,Sal_Sal
Baseline,5,2280,Z7,Sal_Sal
Baseline,6,2293,Z7,Sal_Sal
Baseline,7,2799,Z7,Sal_Sal
Baseline,8,2505,Z7,Sal_Sal
Baseline,9,2655,Z7,Sal_Sal
Baseline,10,2656,Z7,Sal_Sal
Baseline,11,2651,Z7,Sal_Sal
Baseline,12,2866,Z7,Sal_Sal
Baseline,13,2667,Z7,Sal_Sal
Baseline,14,3837,Z7,Sal_Sal
Treatment,15,3878,Z7,Sal_Sal
Treatment,16,3778,Z7,Sal_Sal
Treatment,17,3469,Z7,Sal_Sal
Treatment,18,3972,Z7,Sal_Sal
Treatment,19,4444,Z7,Sal_Sal
Treatment,20,4306,Z7,Sal_Sal
Treatment,21,4607,Z7,Sal_Sal
Extinction,22,2497,Z7,Sal_Sal
Extinction,23,176,Z7,Sal_Sal
Extinction,24,99,Z7,Sal_Sal
Extinction,25,92,Z7,Sal_Sal
Extinction,26,46,Z7,Sal_Sal
Extinction,27,78,Z7,Sal_Sal
Extinction,28,31,Z7,Sal_Sal
Extinction,29,49,Z7,Sal_Sal
Extinction,30,23,Z7,Sal_Sal
Extinction,31,15,Z7,Sal_Sal
Reinstatement,32,21,Z7,Sal_Sal
Baseline,1,602,Z12,Sal_Sal
Baseline,2,670,Z12,Sal_Sal
Baseline,3,625,Z12,Sal_Sal
