Subject,Session,Group,Reinf,Condition,Rate
1,1,ABA,Rich,Baseline,110.5333
1,2,ABA,Rich,Baseline,109.8667
1,3,ABA,Rich,Baseline,114.2
1,4,ABA,Rich,Baseline,102.2
1,5,ABA,Rich,Baseline,103.2
1,6,ABA,Rich,Baseline,99.66666
1,7,ABA,Rich,Baseline,108.6
1,8,ABA,Rich,Baseline,108.4667
1,9,ABA,Rich,Baseline,108.4667
1,10,ABA,Rich,Baseline,114.3333
1,11,ABA,Rich,Baseline,102.1333
1,12,ABA,Rich,Baseline,106.1333
1,13,ABA,Rich,Baseline,108.4
1,14,ABA,Rich,Baseline,111.0667
1,15,ABA,Rich,Baseline,108.6
1,16,ABA,Rich,Baseline,109.9333
1,17,ABA,Rich,Baseline,109.9333
1,18,ABA,Rich,Baseline,112.1333
1,19,ABA,Rich,Baseline,109.1333
1,20,ABA,Rich,Baseline,110.4667
1,21,ABA,Rich,Extinction,79.28775
1,22,ABA,Rich,Extinction,20
1,23,ABA,Rich,Extinction,1.2
1,24,ABA,Rich,Extinction,11.2
1,25,ABA,Rich,Extinction,0.5333334
1,26,ABA,Rich,Extinction,4.133333
1,27,ABA,Rich,Extinction,0
1,28,ABA,Rich,Extinction,0.2666667
1,29,ABA,Rich,Renewal,53.2
2,1,ABA,Rich,Baseline,110
2,2,ABA,Rich,Baseline,107.7333
2,3,ABA,Rich,Baseline,94.2
2,4,ABA,Rich,Baseline,79.66666
2,5,ABA,Rich,Baseline,102.4667
2,6,ABA,Rich,Baseline,78.93333
2,7,ABA,Rich,Baseline,70.4
2,8,ABA,Rich,Baseline,50.33333
2,9,ABA,Rich,Baseline,49.66667
2,10,ABA,Rich,Baseline,54.6
2,11,ABA,Rich,Baseline,59.8
2,12,ABA,Rich,Baseline,62.4
2,13,ABA,Rich,Baseline,75.33334
2,14,ABA,Rich,Baseline,65.13333
2,15,ABA,Rich,Baseline,52.73333
2,16,ABA,Rich,Baseline,48.93333
2,17,ABA,Rich,Baseline,23.06667
2,18,ABA,Rich,Baseline,26.2
2,19,ABA,Rich,Baseline,33.2
2,20,ABA,Rich,Baseline,45.53333
2,21,ABA,Rich,Extinction,79.28775
2,22,ABA,Rich,Extinction,5.4
2,23,ABA,Rich,Extinction,3.2
2,24,ABA,Rich,Extinction,16.2
2,25,ABA,Rich,Extinction,9.066667
2,26,ABA,Rich,Extinction,1.266667
2,27,ABA,Rich,Extinction,0.3333333
2,28,ABA,Rich,Extinction,1
2,29,ABA,Rich,Renewal,68.26667
3,1,ABA,Rich,Baseline,73.73333
3,2,ABA,Rich,Baseline,74.33334
3,3,ABA,Rich,Baseline,71.2
3,4,ABA,Rich,Baseline,68.66666
3,5,ABA,Rich,Baseline,71.13333
3,6,ABA,Rich,Baseline,72.06667
3,7,ABA,Rich,Baseline,73.4
3,8,ABA,Rich,Baseline,76.66666
3,9,ABA,Rich,Baseline,80.86667
3,10,ABA,Rich,Baseline,74.73333
