Subject,Session,Group,Reinf,Condition,Rate
1,1,ABA,Rich,Baseline,110.5333
1,2,ABA,Rich,Baseline,109.8667
1,3,ABA,Rich,Baseline,114.2
1,4,ABA,Rich,Baseline,102.2
1,5,ABA,Rich,Baseline,103.2
1,6,ABA,Rich,Baseline,99.66666
1,7,ABA,Rich,Baseline,108.6
1,8,ABA,Rich,Baseline,108.4667
1,9,ABA,Rich,Baseline,108.4667
1,10,ABA,Rich,Baseline,114.3333
1,11,ABA,Rich,Baseline,102.1333
1,12,ABA,Rich,Baseline,106.1333
1,13,ABA,Rich,Baseline,108.4
1,14,ABA,Rich,Baseline,111.0667
1,15,ABA,Rich,Baseline,108.6
1,16,ABA,Rich,Baseline,109.9333
1,17,ABA,Rich,Baseline,109.9333
1,18,ABA,Rich,Baseline,112.1333
1,19,ABA,Rich,Baseline,109.1333
1,20,ABA,Rich,Baseline,110.4667
1,21,ABA,Rich,Extinction,79.28775
1,22,ABA,Rich,Extinction,20
1,23,ABA,Rich,Extinction,1.2
1,24,ABA,Rich,Extinction,11.2
1,25,ABA,Rich,Extinction,0.5333334
1,26,ABA,Rich,Extinction,4.133333
1,27,ABA,Rich,Extinction,0
1,28,ABA,Rich,Extinction,0.2666667
1,29,ABA,Rich,Renewal,53.2
1,1,ABA,Lean,Baseline,78.33334
1,2,ABA,Lean,Baseline,70.93333
1,3,ABA,Lean,Baseline,78.6
1,4,ABA,Lean,Baseline,57.46667
1,5,ABA,Lean,Baseline,64.86667
1,6,ABA,Lean,Baseline,69.86667
1,7,ABA,Lean,Baseline,76.73333
1,8,ABA,Lean,Baseline,78.4
1,9,ABA,Lean,Baseline,64.2
1,10,ABA,Lean,Baseline,82
1,11,ABA,Lean,Baseline,67.53333
1,12,ABA,Lean,Baseline,58.2
1,13,ABA,Lean,Baseline,76.73333
1,14,ABA,Lean,Baseline,88.2
1,15,ABA,Lean,Baseline,74.46667
1,16,ABA,Lean,Baseline,70.26667
1,17,ABA,Lean,Baseline,77.93333
1,18,ABA,Lean,Baseline,78.13333
1,19,ABA,Lean,Baseline,74.33334
1,20,ABA,Lean,Baseline,74.4
1,21,ABA,Lean,Extinction,64.69388
1,22,ABA,Lean,Extinction,3.2
1,23,ABA,Lean,Extinction,0.1333333
1,24,ABA,Lean,Extinction,0.06666667
1,25,ABA,Lean,Extinction,0.7333333
1,26,ABA,Lean,Extinction,0.06666667
1,27,ABA,Lean,Extinction,0
1,28,ABA,Lean,Extinction,0
1,29,ABA,Lean,Renewal,17.86667
2,1,ABA,Rich,Baseline,110
2,2,ABA,Rich,Baseline,107.7333
2,3,ABA,Rich,Baseline,94.2
2,4,ABA,Rich,Baseline,79.66666
2,5,ABA,Rich,Baseline,102.4667
2,6,ABA,Rich,Baseline,78.93333
2,7,ABA,Rich,Baseline,70.4
2,8,ABA,Rich,Baseline,50.33333
2,9,ABA,Rich,Baseline,49.66667
2,10,ABA,Rich,Baseline,54.6
